9628fce3bd3eed02e193c4c8db8953023e488f79,DELETE,regular-file,nlp/semantics/__init__.pyc,292,
e441f628e72f5e17870730433ce5434435592847,DELETE,regular-file,nlp/semantics/simple_hlf.py,5797,
625eb18e9c621780cbbf6e2b81d27283e6d71fb3,DELETE,regular-file,nlp/semantics/simple_hlf.pyc,4624,
96331a9e8437c30d2f67d61e6b98e17150f9d084,DELETE,regular-file,science/__init__.py,26,
ae424c3d1a5a67b76dd1177bc933337a02c4da0b,DELETE,regular-file,science/__init__.pyc,189,
6e41381fb4f3ee40f4eede5867b7c131ead820ab,DELETE,regular-file,science/iterate.dat,3215,
a2067412221fe9cabb6bcc0a868bdefc2806522a,DELETE,regular-file,science/nlp_experiments.py,3593,
0084769de343990141196740ea57f28a1c197963,DELETE,regular-file,science/nlp_experiments.pyc,4028,
f39098b82a817d3b8ad6224a600c9a8e56f5fb27,DELETE,regular-file,science/saving_crf_bfgs_params.pkl,37667,
e93fcbe5deb772c9f78553ae1dcdf30e7248d0de,DELETE,regular-file,utils.pyc,2037,
8a823c802499ce4ad204b59b17e5e6f8f0223136,DELETE,regular-file,utils/.gitignore,8,
f1f16228dae86527af1c221a06657d0b04c54018,DELETE,regular-file,utils/__init__.py,102,
6b84c63d49cc563935f75ba1c847b8979bb05a86,DELETE,regular-file,utils/__init__.pyc,315,
24c84e1344f4a61bdfc752e9a9928e8f8d014c82,DELETE,regular-file,utils/config/__init__.py,41,
3ba84a078e80375000090e29b663d084dcc48df8,DELETE,regular-file,utils/config/__init__.pyc,218,
e624f02afb25ce0509a3540b9fc4ecbbeecb7715,DELETE,regular-file,utils/config/chart_settings.py,457,
275416e84d1520e644e51b5e3eaffc15b40cb9fb,DELETE,regular-file,utils/config/chart_settings.pyc,1031,
b7645073fa757ea3fddc72b17042f24151768843,DELETE,regular-file,utils/data.py,1440,
8d3cfa8e5d5de51743e94796c416e0493aacd177,DELETE,regular-file,utils/data.pyc,2572,
66e788fcd6c607c39dcf89efb8ffe22cdfcfb7d2,DELETE,regular-file,utils/data_structures/__init__.py,13,
eb7d12dde34861816875a3ab408e2405feedac7d,DELETE,regular-file,utils/data_structures/__init__.pyc,187,
92588e95a693e2339e4e50b398fb1a4df00ccefe,DELETE,regular-file,utils/data_structures/flyweight.py,1678,
5dd66c11d1b935d4a8e1e9da92778b87db69f6bb,DELETE,regular-file,utils/data_structures/flyweight.pyc,3857,
559e6ca343748f4d081c7297b33bfa7e59ab5bbd,DELETE,regular-file,utils/data_structures/nodes.pyc,18482,
7f9e748b7f3b868ec0313c7ee21904c69dc35689,DELETE,regular-file,utils/data_structures/retired/nodes.py,17552,
654a4790a7e6acb152f02079a176b93747018ad0,DELETE,regular-file,utils/data_structures/retired/trees.py,32937,
d6cc857e5bfacf83115820d7ba0507dca94b2d4f,DELETE,regular-file,utils/data_structures/singleton.py,238,
2cd8bec22fa2e83f6601c6c95fd14b0d3b1bf94b,DELETE,regular-file,utils/data_structures/singleton.pyc,694,
26567566c24b2bfe5379df2a0769e062c0ec22fd,DELETE,regular-file,utils/data_structures/tree_readme.md,6502,
f4706b5bd91485aa3dc376ee58f0799883ee741c,DELETE,regular-file,utils/data_structures/trees.py,18289,
74689bdb19d6cda01c5681e81d7859bbcc5d4938,DELETE,regular-file,utils/data_structures/trees.pyc,17408,
2f029a434ec204ae433ed66320e4777fe01e03b4,DELETE,regular-file,utils/exceptions.py,165,
1ae6c13c185b78991dea1b56917f927c68740091,DELETE,regular-file,utils/exceptions.pyc,601,
6f3dedde38c6128b0b32b7fe274325874bf540e5,DELETE,regular-file,utils/general.py,3740,
851d7a6b0417fbd51a09df5034e0d6d71431b85e,DELETE,regular-file,utils/general.pyc,6950,
a9b35a8d3af475fa3615a7cf91e4625b4f75e219,DELETE,regular-file,utils/hlf.py,3013,
3e602ae376f8d81a70cae9bbd3e27fdea0cc44da,DELETE,regular-file,utils/hlf.pyc,5037,
de5d1b234fb77f88ecbd677a761d9885bc641fac,DELETE,regular-file,utils/mc.pyc,2845,
bb4eee3b282f46132401becee67b26227bffd1c3,DELETE,regular-file,utils/montecarlo.py,2871,
1ff74b3cd0453e55a27a3c07afc306a138e6debf,DELETE,regular-file,utils/montecarlo.pyc,2889,
68097e8fa3af5a611bd5a40ef1db676cd4a57946,DELETE,regular-file,utils/sugar/__init__.py,70,
1d836a4cb25ab23e7d4b6414412e3dec89171f05,DELETE,regular-file,utils/sugar/__init__.pyc,252,
82f4da2697475ea6ceb222b76797ddb09bb433c4,DELETE,regular-file,utils/sugar/decorators.py,8330,
a6614b4c7e09e2d0fe0763ffa65ca7f600a3e46a,DELETE,regular-file,utils/sugar/decorators.pyc,13751,
23abfbadf08ff174088f5b80f14ce10a4835475b,DELETE,regular-file,utils/vault.py,4255,
a47d7abbca3faafbfd1db016b679e577357a7f5a,DELETE,regular-file,utils/vault.pyc,5783,
e266a28c6c172b427dd30831621ecbc20b1351bb,DELETE,regular-file,utils/vocabulary.py,4347,
ca3c00150f1250ed93fe88022748558746f17e23,DELETE,regular-file,utils/vocabulary.pyc,6757,
830f18f2d4dc9071fd52bcd97e8ed9a386a0d350,DELETE,regular-file,utils/xkcd_json.py,949,
4e4dd07eda45277f2a94b69b01e6f00badc5684a,DELETE,regular-file,vocabulary.pyc,6740,
